"lon","lat","biome"
309.25,78.75,28
309.75,78.75,28
310.25,78.75,28
310.75,78.75,28
311.25,78.75,28
311.75,78.75,28
312.25,78.75,28
312.75,78.75,28
313.25,78.75,28
313.75,78.75,28
314.25,78.75,28
314.75,78.75,28
315.25,78.75,28
315.75,78.75,28
316.25,78.75,28
316.75,78.75,28
317.25,78.75,28
317.75,78.75,28
318.25,78.75,28
318.75,78.75,28
319.25,78.75,28
319.75,78.75,28
320.25,78.75,28
320.75,78.75,28
321.25,78.75,28
321.75,78.75,28
322.25,78.75,28
322.75,78.75,28
323.25,78.75,28
323.75,78.75,28
324.25,78.75,28
324.75,78.75,28
325.25,78.75,28
325.75,78.75,28
326.25,78.75,28
326.75,78.75,28
327.25,78.75,28
327.75,78.75,28
328.25,78.75,28
328.75,78.75,28
329.25,78.75,28
329.75,78.75,28
330.25,78.75,28
330.75,78.75,28
331.25,78.75,28
331.75,78.75,28
332.25,78.75,28
332.75,78.75,28
333.25,78.75,28
333.75,78.75,28
334.25,78.75,28
334.75,78.75,28
335.25,78.75,28
335.75,78.75,24
336.25,78.75,24
336.75,78.75,24
337.25,78.75,23
337.75,78.75,23
338.25,78.75,23
338.75,78.75,23
339.25,78.75,23
99.75,78.25,25
100.25,78.25,25
100.75,78.25,25
101.25,78.25,25
101.75,78.25,25
102.25,78.25,25
102.75,78.25,25
103.25,78.25,25
103.75,78.25,25
104.25,78.25,25
104.75,78.25,25
105.25,78.25,25
105.75,78.25,25
106.25,78.25,25
106.75,78.25,25
268.25,78.25,22
268.75,78.25,22
269.25,78.25,22
269.75,78.25,22
270.25,78.25,22
270.75,78.25,22
271.25,78.25,22
271.75,78.25,22
272.25,78.25,22
272.75,78.25,22
273.25,78.25,22
273.75,78.25,22
274.25,78.25,22
274.75,78.25,22
275.25,78.25,22
275.75,78.25,22
276.25,78.25,22
276.75,78.25,22
277.25,78.25,22
277.75,78.25,22
278.25,78.25,22
278.75,78.25,22
279.25,78.25,26
279.75,78.25,28
280.25,78.25,28
280.75,78.25,28
281.25,78.25,28
281.75,78.25,28
282.25,78.25,28
282.75,78.25,28
290.75,78.25,22
291.25,78.25,22
291.75,78.25,22
292.25,78.25,22
292.75,78.25,22
293.25,78.25,22
293.75,78.25,22
294.25,78.25,22
294.75,78.25,28
295.25,78.25,28
295.75,78.25,28
296.25,78.25,28
296.75,78.25,28
297.25,78.25,28
297.75,78.25,28
298.25,78.25,28
298.75,78.25,28
299.25,78.25,28
299.75,78.25,28
300.25,78.25,28
300.75,78.25,28
301.25,78.25,28
301.75,78.25,28
302.25,78.25,28
302.75,78.25,28
303.25,78.25,28
303.75,78.25,28
304.25,78.25,28
304.75,78.25,28
305.25,78.25,28
305.75,78.25,28
306.25,78.25,28
306.75,78.25,28
307.25,78.25,28
307.75,78.25,28
308.25,78.25,28
308.75,78.25,28
309.25,78.25,28
309.75,78.25,28
310.25,78.25,28
310.75,78.25,28
311.25,78.25,28
311.75,78.25,28
312.25,78.25,28
312.75,78.25,28
313.25,78.25,28
313.75,78.25,28
314.25,78.25,28
314.75,78.25,28
315.25,78.25,28
315.75,78.25,28
316.25,78.25,28
316.75,78.25,28
317.25,78.25,28
317.75,78.25,28
318.25,78.25,28
318.75,78.25,28
319.25,78.25,28
319.75,78.25,28
320.25,78.25,28
320.75,78.25,28
321.25,78.25,28
321.75,78.25,28
322.25,78.25,28
322.75,78.25,28
323.25,78.25,28
323.75,78.25,28
324.25,78.25,28
324.75,78.25,28
325.25,78.25,28
325.75,78.25,28
326.25,78.25,28
326.75,78.25,28
327.25,78.25,28
327.75,78.25,28
328.25,78.25,28
328.75,78.25,28
329.25,78.25,28
329.75,78.25,28
330.25,78.25,28
330.75,78.25,28
331.25,78.25,28
331.75,78.25,28
332.25,78.25,28
332.75,78.25,28
